Class 00 - 29 03 02 00 00 02 01 00 01 00 00 00   38
Class 01 - 01 29 01 00 00 00 00 00 00 01 00 00   32
Class 02 - 00 01 24 01 10 00 00 00 00 00 00 00   36
Class 03 - 01 00 00 33 05 00 00 00 00 00 00 00   39
Class 04 - 00 00 00 04 33 00 00 01 00 00 00 00   38
Class 05 - 01 00 00 00 01 27 00 00 00 00 00 00   29
Class 06 - 01 00 02 00 01 04 23 01 00 00 00 00   32
Class 07 - 00 00 01 00 02 00 00 24 00 00 00 01   28
Class 08 - 01 00 00 00 00 00 00 00 26 03 00 01   31
Class 09 - 00 00 00 00 00 00 00 00 05 25 00 00   30
Class 10 - 00 01 00 00 00 00 00 00 01 01 31 00   34
Class 11 - 00 00 00 00 00 00 00 01 04 03 01 24   33

Recognition Rate 82.000000
