Class 00 - 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   0
Class 01 - 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   0
Class 02 - 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   0
Class 03 - 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   0
Class 04 - 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   0
Class 05 - 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   0
Class 06 - 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   2
Class 07 - 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 00 00 00 01   17
Class 08 - 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 03 00 00 00   5
Class 09 - 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   0
Class 10 - 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00   2
Class 11 - 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   0
Class 12 - 01 00 01 00 00 00 00 00 00 00 00 00 01 00 00 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   6
Class 13 - 00 00 00 00 00 00 00 00 00 00 00 00 00 08 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   10
Class 14 - 00 00 01 00 00 00 00 00 00 00 00 00 00 00 06 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   8
Class 15 - 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 03 01 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00   6
Class 16 - 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 01 06 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   9
Class 17 - 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   2
Class 18 - 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 04 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00   6
Class 19 - 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00   4
Class 20 - 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   3
Class 21 - 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00   4
Class 22 - 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 02 00   5
Class 23 - 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00   3
Class 24 - 11 00 00 00 00 00 00 01 00 00 00 00 03 00 00 00 00 00 01 00 00 00 00 00 12 02 00 00 00 01 01 00 00 00 00 00   32
Class 25 - 00 02 01 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 01 01 16 00 00 00 00 00 00 00 00 00 00   22
Class 26 - 00 00 03 00 03 00 00 00 00 00 00 00 00 01 01 00 01 00 01 00 00 00 00 00 00 00 13 00 05 00 00 00 00 00 00 00   28
Class 27 - 00 00 00 08 02 00 00 00 00 00 00 00 00 00 00 01 01 00 00 01 00 00 00 00 00 00 00 19 01 00 00 00 00 00 00 00   33
Class 28 - 00 00 00 02 04 00 00 00 00 00 00 00 00 00 01 00 03 00 00 01 00 00 00 00 00 00 00 00 18 00 00 00 00 00 00 00   29
Class 29 - 00 00 00 00 00 12 00 01 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 13 00 00 00 00 00 00   27
Class 30 - 00 00 00 00 00 00 05 01 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 15 00 00 00 00 00   24
Class 31 - 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00   7
Class 32 - 00 00 00 00 00 00 00 00 03 00 00 01 00 00 00 00 00 00 00 00 00 01 01 00 00 00 00 00 00 00 00 00 16 00 00 01   23
Class 33 - 00 00 00 00 00 00 00 00 01 15 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 04 05 00 00   26
Class 34 - 00 01 00 00 00 01 00 01 01 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 21 00   27
Class 35 - 00 00 00 00 00 00 00 00 03 01 00 04 00 00 00 00 00 00 00 01 00 00 00 03 00 00 00 00 00 00 00 00 01 00 00 17   30

Recognition Rate 54.250000
